15:24:46 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
15:24:46 | DEBUG   | EXTERN   | > Upgrade: websocket
15:24:46 | DEBUG   | EXTERN   | > Connection: Upgrade
15:24:46 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: LRhnwehGTMjqwoo3y7FkuA==
15:24:46 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
15:24:46 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
15:24:46 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
15:24:46 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
15:24:46 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
15:24:46 | DEBUG   | EXTERN   | < Upgrade: websocket
15:24:46 | DEBUG   | EXTERN   | < Connection: Upgrade
15:24:46 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: B4/ET9dw+feCdVxrBoaXfeaJ0/w=
15:24:46 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
15:24:46 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
15:24:46 | DEBUG   | EXTERN   | < date: Fri, 15 May 2026 14:24:46 GMT
15:24:46 | DEBUG   | EXTERN   | < server: uvicorn
15:24:46 | DEBUG   | EXTERN   | = connection is OPEN
15:24:46 | DEBUG   | EXTERN   | > PING be 47 08 06 [binary, 4 bytes]
15:24:46 | DEBUG   | EXTERN   | < PONG be 47 08 06 [binary, 4 bytes]
15:24:46 | DEBUG   | EXTERN   | > TEXT '{"type":"auth","token":null}' [28 bytes]
15:24:46 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
15:24:46 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:24:46.479132Z","even...ae7577","follows":null}' [985 bytes]
15:24:46 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:24:46.526529Z","even...7ac797","follows":null}' [1937 bytes]
15:24:46 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:24:46.527864Z","even...c3a-9ca6-b6dfcf7ac797"}' [2082 bytes]
15:24:46 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:24:46.874992Z","even...1bc-970d-a6669ffa140a"}' [2165 bytes]
15:24:47 | DEBUG   | EXTERN   | > CLOSE 1000 (OK) [2 bytes]
15:24:47 | DEBUG   | EXTERN   | = connection is CLOSING
15:24:47 | DEBUG   | EXTERN   | < CLOSE 1000 (OK) [2 bytes]
15:24:47 | DEBUG   | EXTERN   | < EOF
15:24:47 | DEBUG   | EXTERN   | > EOF
15:24:47 | DEBUG   | EXTERN   | = connection is CLOSED
15:24:47 | DEBUG   | EXTERN   | x half-closing TCP connection
15:25:01 | DEBUG   | EXTERN   | < PING d4 31 5c a6 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | > PONG d4 31 5c a6 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | < PING "P'|\t" [text, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | > PONG "P'|\t" [text, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | > PING bc 1f cd 11 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | % sent keepalive ping
15:25:01 | DEBUG   | EXTERN   | > PING 12 2c 07 85 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | % sent keepalive ping
15:25:01 | DEBUG   | EXTERN   | < PONG bc 1f cd 11 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | % received keepalive pong
15:25:01 | DEBUG   | EXTERN   | < PONG 12 2c 07 85 [binary, 4 bytes]
15:25:01 | DEBUG   | EXTERN   | % received keepalive pong
15:25:15 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:25:15 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:25:16 | INFO    | BRONZE   | ══ BRONZE FLOW — Infrastructure | backfill=1 | dry_run=False
15:25:16 | INFO    | BRONZE   | ══ BRONZE FLOW — Parc Auto | dry_run=False
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.piping.pipe(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.piping.pipe(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.rendering.render(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.rendering.render(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.unflattening.unflatten(['stagger', 'fanout', 'chain', 'encoding'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.unflattening.unflatten(['stagger', 'fanout', 'chain', 'encoding'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.viewing.view(['quiet'])
15:25:16 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.viewing.view(['quiet'])
